,L0 Cluster,L1 Cluster,L2 Cluster,L3 Cluster,L4 Cluster
131,3753.6,11394.6,0.0,0.0,0.0
132,4260.8,8937.8,0.0,0.0,0.0
133,12764.6,40662.6,0.0,0.0,0.0
134,11792.2,29400.8,0.0,0.0,0.0
135,18937.4,18801.0,0.0,0.0,0.0
136,22106.0,21409.2,0.0,0.0,0.0
137,23897.4,5794.0,0.0,0.0,0.0
138,2967.8,5756.0,0.0,0.0,0.0
139,3225.4,13260.4,0.0,0.0,0.0
140,5168.8,4174.4,0.0,0.0,0.0
141,27579.2,11732.0,0.0,0.0,0.0
142,7678.8,6907.2,0.0,0.0,0.0
143,13707.8,20168.0,0.0,0.0,0.0
144,23506.6,5961.0,0.0,0.0,0.0
145,7087.4,7389.0,0.0,0.0,0.0
146,8644.0,7223.8,0.0,0.0,0.0
147,37697.2,13876.0,0.0,0.0,0.0
148,5674.0,6882.2,0.0,0.0,0.0
149,3328.0,70785.6,0.0,0.0,0.0
150,7894.8,2797.4,0.0,0.0,0.0
151,2780.6,10142.6,0.0,0.0,0.0
152,6512.8,22583.0,0.0,0.0,0.0
153,11093.4,4517.4,0.0,0.0,0.0
154,5172.0,7206.6,0.0,0.0,0.0
155,4248.4,3157.2,0.0,0.0,0.0
156,4591.4,32471.6,0.0,0.0,0.0
157,6914.2,14894.2,0.0,0.0,0.0
158,6702.6,9685.2,0.0,0.0,0.0
159,19818.6,13111.8,0.0,0.0,0.0
160,33615.8,17022.8,0.0,0.0,0.0
161,4403.0,9019.8,0.0,0.0,0.0
162,8302.4,6319.0,0.0,0.0,0.0
163,11039.4,16474.0,0.0,0.0,0.0
164,32471.6,28865.4,0.0,0.0,0.0
165,14983.8,5594.6,0.0,0.0,0.0
166,4725.6,29936.6,0.0,0.0,0.0
167,7160.0,4834.4,0.0,0.0,0.0
168,4024.8,13058.2,0.0,0.0,0.0
169,6283.4,5522.4,0.0,0.0,0.0
170,2475.4,6527.6,0.0,0.0,0.0
171,73518.2,10924.8,0.0,0.0,0.0
172,8043.0,7352.0,0.0,0.0,0.0
173,5634.8,2183.0,0.0,0.0,0.0
174,13488.6,6085.8,0.0,0.0,0.0
175,3472.6,11343.4,0.0,0.0,0.0
176,5120.8,29629.2,0.0,0.0,0.0
177,6086.0,35910.0,0.0,0.0,0.0
178,6508.4,13039.2,0.0,0.0,0.0
179,5457.4,34550.4,0.0,0.0,0.0
180,20095.6,33273.2,0.0,0.0,0.0
181,5226.8,19417.6,0.0,0.0,0.0
182,9678.6,13313.8,0.0,0.0,0.0
183,1726.8,12968.6,0.0,0.0,0.0
184,9777.8,15010.2,0.0,0.0,0.0
185,11919.0,5827.4,0.0,0.0,0.0
186,2096.6,3950.0,0.0,0.0,0.0
187,12640.0,7072.0,0.0,0.0,0.0
188,5270.0,3693.25,0.0,0.0,0.0
189,309.4,15894.25,0.0,0.0,0.0
190,1996.6,20244.25,0.0,0.0,0.0
191,13028.6,17721.5,0.0,0.0,0.0
192,5317.75,23417.0,0.0,0.0,0.0
193,9623.75,13254.25,0.0,0.0,0.0
194,4273.666666666667,100713.33333333333,0.0,0.0,0.0
195,8523.0,6516.666666666667,0.0,0.0,0.0
196,35296.0,27386.333333333332,0.0,0.0,0.0
197,1669.5,19011.5,0.0,0.0,0.0
198,8521.5,182418.5,0.0,0.0,0.0
199,29409.5,59414.0,0.0,0.0,0.0
