,f1,acc,prec,kappa,recall
margaret,0.395721925,0.754880694,0.259953162,0.291173478,0.828358209
ndfilter,0.382826476,0.750542299,0.251764706,0.276187543,0.798507463
score,0.462809917,0.812002892,0.32,0.375264954,0.835820896
castelo,0.416510319,0.775126537,0.278195489,0.317505201,0.828358209
statua,0.509009009,0.842371656,0.364516129,0.432184748,0.843283582
mitsubishi,0.406593407,0.765726681,0.269417476,0.304962603,0.828358209
jogging,0.395939086,0.74186551,0.256017505,0.289469935,0.873134328
lincolnpark,0.370883882,0.737527115,0.241534989,0.26092538,0.798507463
excellentphotographerawards,0.387323944,0.748373102,0.253456221,0.280841323,0.820895522
statuary,0.508403361,0.830802603,0.35380117,0.428887571,0.902985075
reenactment,0.40445269,0.767895879,0.269135802,0.302959505,0.813432836
quartier,0.421052632,0.785249458,0.284960422,0.324319345,0.805970149
valleys,0.395061728,0.751988431,0.258660508,0.289991124,0.835820896
qualitypixels,0.411971831,0.758496023,0.269585253,0.309772994,0.873134328
champions,0.495867769,0.823571945,0.342857143,0.413710187,0.895522388
dubrovnik,0.419047619,0.779464931,0.281329923,0.321062569,0.820895522
columbusohio,0.396363636,0.759942155,0.262019231,0.292694274,0.813432836
guelph,0.315132605,0.682574114,0.199211045,0.19116019,0.753731343
sincity,0.369636964,0.723788865,0.237288136,0.257582188,0.835820896
officers,0.422641509,0.778741866,0.282828283,0.324894474,0.835820896
TRUE,0.371024735,0.742588576,0.243055556,0.26184929,0.78358209
kinder,0.371428571,0.745480839,0.244131455,0.262748519,0.776119403
blaze,0.331288344,0.684743312,0.208494208,0.209602408,0.805970149
planks,0.36672326,0.730296457,0.237362637,0.255235351,0.805970149
noticings,0.375886525,0.745480839,0.246511628,0.267694789,0.791044776
georges,0.375438596,0.742588576,0.245412844,0.266752251,0.798507463
divine,0.386861314,0.757049892,0.256038647,0.281705032,0.791044776
helsingfors,0.399260628,0.765003615,0.265356265,0.296736016,0.805970149
piccadilly,0.407619048,0.775126537,0.273657289,0.307706422,0.798507463
casey,0.377358491,0.737527115,0.244988864,0.268133425,0.820895522
peek,0.330128205,0.697758496,0.210204082,0.209900065,0.768656716
swindon,0.407942238,0.762834418,0.269047619,0.305984193,0.843283582
streetview,0.363636364,0.731742589,0.236080178,0.252004134,0.791044776
mate,0.355987055,0.712219812,0.227272727,0.24076184,0.820895522
calif,0.366492147,0.737527115,0.239179954,0.256040616,0.78358209
sabbia,0.434262948,0.794649313,0.296195652,0.340590489,0.813432836
gross,0.345840131,0.710050615,0.221294363,0.229110921,0.791044776
bandw,0.376271186,0.733911786,0.243421053,0.266399716,0.828358209
jar,0.390596745,0.756326826,0.257756563,0.285722605,0.805970149
supplies,0.368217054,0.76428055,0.248691099,0.262402413,0.708955224
between,0.367549669,0.723788865,0.236170213,0.255248304,0.828358209
firemen,0.359663866,0.724511931,0.232104121,0.246539222,0.798507463
amerique,0.357638889,0.732465654,0.232505643,0.246121661,0.77443609
sunflare,0.363636364,0.726681128,0.234273319,0.251978892,0.812030075
manga,0.375,0.74692697,0.245901639,0.267587434,0.789473684
variety,0.371681416,0.743311641,0.243055556,0.263349553,0.789473684
cctv,0.396396396,0.757772957,0.260663507,0.29300197,0.827067669
railroads,0.373429084,0.747650036,0.245283019,0.265958175,0.781954887
canadagood,0.343906511,0.715835141,0.221030043,0.228461192,0.77443609
bentley,0.377425044,0.744757773,0.246543779,0.269946779,0.804511278
moray,0.415238095,0.7780188,0.278061224,0.317177627,0.819548872
cabins,0.359932088,0.727404194,0.23245614,0.247947831,0.796992481
brooklynbridge,0.381981982,0.751988431,0.251184834,0.276118435,0.796992481
piscina,0.430232558,0.787418655,0.289817232,0.335346138,0.834586466
antiquity,0.45174538,0.806941432,0.310734463,0.362636509,0.827067669
ticino,0.385026738,0.750542299,0.252336449,0.279268597,0.812030075
slovensko,0.389513109,0.76428055,0.259351621,0.286454509,0.781954887
karachi,0.359240069,0.731742589,0.233183857,0.247797678,0.781954887
canarywharf,0.417910448,0.774403471,0.277915633,0.319503541,0.842105263
insane,0.350758853,0.721619667,0.226086957,0.236907012,0.781954887
africanamerican,0.370242215,0.736804049,0.240449438,0.260779672,0.804511278
18thcentury,0.480686695,0.825018077,0.336336336,0.397938478,0.842105263
1983,0.351170569,0.71945047,0.225806452,0.237067495,0.789473684
garland,0.389090909,0.757049892,0.256594724,0.284796099,0.804511278
empirestate,0.386740331,0.759219089,0.256097561,0.282547838,0.789473684
makro,0.38869258,0.749819234,0.25404157,0.283226483,0.827067669
nuvens,0.407079646,0.757772957,0.266203704,0.304850986,0.864661654
buick,0.355481728,0.71945047,0.228144989,0.241883438,0.804511278
brigade,0.387211368,0.750542299,0.253488372,0.281692558,0.819548872
grasshopper,0.35395189,0.72812726,0.229398664,0.241386957,0.77443609
nat,0.361158433,0.728850325,0.233480176,0.249519215,0.796992481
ceredigion,0.399280576,0.758496023,0.262411348,0.296311869,0.834586466
500cm,0.367697595,0.733911786,0.23830735,0.25752766,0.804511278
pinup,0.382142857,0.749819234,0.25058548,0.275957863,0.804511278
firework,0.424124514,0.785972523,0.286089239,0.32837202,0.819548872
