,f1,acc,prec,kappa,recall
kiel,0.532066508,0.857556038,0.373333333,0.465408139,0.925619835
ncaa,0.524038462,0.856832972,0.369491525,0.456611726,0.900826446
parkslope,0.422924901,0.788864787,0.277922078,0.334293834,0.884297521
strings,0.508083141,0.845986985,0.352564103,0.437111984,0.909090909
sultan,0.542056075,0.858279103,0.377850163,0.476328652,0.958677686
coronado,0.48960739,0.840202458,0.33974359,0.41597065,0.876033058
hoop,0.513189448,0.853217643,0.361486486,0.444148341,0.884297521
normal,0.481927711,0.844540853,0.340136054,0.40861819,0.826446281
mannheim,0.411405295,0.791033984,0.272972973,0.322004773,0.834710744
caballo,0.526570048,0.858279103,0.372013652,0.459653627,0.900826446
yankee,0.478555305,0.8329718,0.329192547,0.402569449,0.876033058
canons3is,0.488038278,0.845263919,0.343434343,0.415349058,0.842975207
gnd,0.624,0.898047722,0.460629921,0.573444134,0.966942149
guesswhereuk,0.522144522,0.851771511,0.363636364,0.453487184,0.925619835
voyager,0.494382022,0.837310195,0.339506173,0.42055986,0.909090909
charlottesville,0.486618005,0.847433116,0.344827586,0.414304151,0.826446281
parent,0.501182033,0.847433116,0.350993377,0.429969234,0.876033058
poison,0.416135881,0.801156905,0.28,0.328869423,0.809917355
1927,0.483568075,0.840925524,0.337704918,0.409602831,0.851239669
rocas,0.526806527,0.853217643,0.366883117,0.458819016,0.933884298
aberystwyth,0.543640898,0.867678959,0.389285714,0.480121112,0.900826446
gironde,0.549118388,0.870571222,0.394927536,0.486672099,0.900826446
limerick,0.537313433,0.865509761,0.384341637,0.472834062,0.892561983
nets,0.519047619,0.853940709,0.364548495,0.45060983,0.900826446
eos500d,0.564356436,0.872740419,0.402826855,0.503498244,0.94214876
hansestadt,0.471395881,0.8329718,0.325949367,0.394821737,0.851239669
greenwood,0.503631961,0.851771511,0.356164384,0.43355344,0.859504132
buena,0.480952381,0.842371656,0.337792642,0.407093777,0.834710744
innenstadt,0.48951049,0.84164859,0.340909091,0.416164358,0.867768595
rendering,0.428874735,0.8054953,0.288571429,0.343512272,0.834710744
tommy,0.439232409,0.809833695,0.295977011,0.355560044,0.851239669
canon1022mm,0.581818182,0.883586406,0.424242424,0.524800082,0.925619835
18135,0.488789238,0.835140998,0.335384615,0.414078875,0.900826446
oly,0.525,0.862617498,0.376344086,0.458966978,0.867768595
cottonwood,0.476190476,0.8329718,0.328125,0.400009015,0.867768595
condemned,0.485981308,0.840925524,0.338762215,0.41220563,0.859504132
