,f1,acc,prec,kappa,recall
museums,0.511041009,0.775849602,0.364044944,0.394972143,0.857142857
benz,0.510500808,0.780911063,0.36744186,0.395779894,0.835978836
ac,0.435158501,0.716558207,0.299009901,0.294931019,0.798941799
ventura,0.424153166,0.717281273,0.293877551,0.282665881,0.761904762
ruhrgebiet,0.492753623,0.772234273,0.354166667,0.373665619,0.80952381
kind,0.470046083,0.750542299,0.331168831,0.342514851,0.80952381
arkitektur,0.555746141,0.812725958,0.411167513,0.455095177,0.857142857
spiritofphotography,0.506289308,0.772957339,0.360178971,0.388898739,0.851851852
eglise,0.59352518,0.836587129,0.449591281,0.504050953,0.873015873
tyre,0.473919523,0.744757773,0.329875519,0.345399619,0.841269841
gifts,0.462249615,0.747650036,0.326086957,0.333044534,0.793650794
fab,0.484177215,0.76428055,0.34537246,0.361935007,0.80952381
takeoff,0.500782473,0.76934201,0.355555556,0.381790742,0.846560847
decorated,0.496025437,0.770788142,0.354545455,0.376891557,0.825396825
southbeach,0.489164087,0.761388286,0.345733042,0.366716065,0.835978836
pyrenees,0.536585366,0.793926247,0.387323944,0.428360722,0.873015873
aves,0.523577236,0.788141721,0.377934272,0.412314707,0.851851852
timessquare,0.46935725,0.743311641,0.327083333,0.33991183,0.830687831
arco,0.53,0.796095445,0.386861314,0.421735301,0.841269841
manufacturing,0.436781609,0.716558207,0.299802761,0.296769323,0.804232804
radar,0.483660131,0.771511208,0.349881797,0.363398796,0.783068783
dfw,0.464831804,0.74692697,0.32688172,0.335745809,0.804232804
halo,0.469325153,0.749819234,0.330453564,0.341521009,0.80952381
herb,0.436519258,0.714389009,0.298828125,0.2959764,0.80952381
mug,0.466666667,0.745480839,0.326963907,0.337432731,0.814814815
pembrokeshire,0.515397083,0.783803326,0.371495327,0.402023348,0.841269841
current,0.479389313,0.753434563,0.336909871,0.353717948,0.830687831
landscapephotography,0.490045942,0.759219089,0.344086022,0.367616466,0.85106383
available,0.424501425,0.707881417,0.289883268,0.281467897,0.792553191
nikond3100,0.444785276,0.738250181,0.3125,0.31159213,0.771276596
edgewater,0.432510885,0.717281273,0.29740519,0.292681204,0.792553191
iphoto,0.44028777,0.718727404,0.301775148,0.301817007,0.813829787
awards,0.462519936,0.756326826,0.330296128,0.336154012,0.771276596
rover,0.490566038,0.765726681,0.348214286,0.369896223,0.829787234
modernarchitecture,0.527027027,0.797541576,0.386138614,0.419284018,0.829787234
dean,0.457055215,0.744034707,0.32112069,0.326805564,0.792553191
steak,0.484451718,0.772234273,0.349881797,0.364916577,0.787234043
tahoe,0.465543645,0.747650036,0.32688172,0.337231672,0.808510638
contrejour,0.503184713,0.774403471,0.359090909,0.386281013,0.840425532
peoples,0.433179724,0.73318872,0.304535637,0.297307382,0.75
nightlights,0.533772652,0.795372379,0.386634845,0.426062818,0.861702128
