Orig,ndcg,Bow,ndcg,Vector,ndcg
cold,0.698239969,cold,0.653725519,cold,0.691849532
pass,0.659954686,pass,0.666912228,pass,0.660372797
dream,0.701290108,dream,0.632099249,dream,0.702689556
casting,0.710282986,casting,0.687804972,casting,0.708679668
image,0.707247652,image,0.660232105,image,0.707141606
directing,0.710256069,directing,0.700217953,directing,0.710618862
michael,0.686202439,michael,0.631440999,michael,0.666934049
social,0.784919995,social,0.711481296,social,0.785429016
conclusion,0.706524924,conclusion,0.709130345,conclusion,0.70725632
states,0.757317171,states,0.70642453,states,0.759022035
proves,0.70937047,proves,0.697941414,proves,0.709523714
adult,0.777756823,adult,0.762152251,adult,0.780324602
bottom,0.668021066,bottom,0.663728348,bottom,0.667654813
personally,0.682108272,personally,0.678299697,personally,0.681395367
folks,0.69984423,folks,0.692201647,folks,0.699939281
red,0.597334494,red,0.572854208,red,0.59680636
rarely,0.702267464,rarely,0.708714505,rarely,0.702246444
concept,0.74140818,concept,0.719812947,concept,0.742480751
pull,0.699699977,pull,0.689290617,pull,0.699702459
pieces,0.691024078,pieces,0.68708074,pieces,0.688785716
treat,0.674574877,treat,0.671967766,treat,0.67481613
fear,0.681152515,fear,0.64760931,fear,0.682351384
brother,0.724242821,brother,0.635024997,brother,0.725735837
complex,0.739110028,complex,0.714205323,complex,0.743060403
laughs,0.879664131,laughs,0.839572117,laughs,0.881653455
musical,0.850502901,musical,0.802141541,musical,0.865122009
boys,0.710982509,boys,0.608150246,boys,0.712771457
opens,0.701247644,opens,0.694410679,opens,0.702467117
mark,0.582341265,mark,0.570680628,mark,0.58180579
james,0.718688667,james,0.648104401,james,0.720060116
street,0.695941752,street,0.616481554,street,0.698082925
critics,0.691691502,critics,0.670978474,critics,0.692662144
narrative,0.768862266,narrative,0.720677378,narrative,0.770537781
twist,0.760313708,twist,0.72583677,twist,0.751736152
compared,0.697229252,compared,0.699954708,compared,0.697632053
appearance,0.694178901,appearance,0.692240706,appearance,0.695039723
questions,0.74345258,questions,0.701780901,questions,0.744296122
color,0.718265326,color,0.654918832,color,0.719187259
project,0.688104103,project,0.652630594,project,0.688608142
suddenly,0.697579296,suddenly,0.697394623,suddenly,0.698786651
themes,0.736151102,themes,0.723156825,themes,0.738312254
lovely,0.74631232,lovely,0.708399251,lovely,0.747105819
team,0.812378561,team,0.670445556,team,0.825005878
studio,0.712338754,studio,0.668341218,studio,0.712975218
amusing,0.780172787,amusing,0.78708801,amusing,0.780200682
approach,0.707552958,approach,0.699644116,approach,0.70739048
notice,0.647495939,notice,0.651640655,notice,0.647502969
escape,0.680793637,escape,0.625819306,escape,0.68144554
pleasure,0.706338557,pleasure,0.686781515,pleasure,0.706125419
finish,0.702992094,finish,0.696342501,finish,0.703700555
detail,0.720486897,detail,0.705178238,detail,0.720399172
surprising,0.703641251,surprising,0.693444048,surprising,0.70374779
intended,0.691341152,intended,0.692646681,intended,0.692572634
hoping,0.694744449,hoping,0.685511526,hoping,0.695035536
lacks,0.706953278,lacks,0.700516959,lacks,0.705324482
aspects,0.687428222,aspects,0.689998718,aspects,0.686118412
condition,0.755112368,condition,0.696224333,condition,0.757191399
tired,0.693639957,tired,0.690156049,tired,0.693057097
soul,0.668859721,soul,0.646966857,soul,0.669995188
ready,0.672833934,ready,0.671563969,ready,0.673519941
plain,0.693405061,plain,0.695446282,plain,0.694030846
disc,0.775091689,disc,0.661782,disc,0.774235161
documentary,0.874877823,documentary,0.861927969,documentary,0.887919531
spirit,0.69325682,spirit,0.642623971,spirit,0.694487885
loud,0.76783998,loud,0.737251709,loud,0.768195315
thrown,0.701004014,thrown,0.710375711,thrown,0.70187125
win,0.738811124,win,0.683506558,win,0.74246531
putting,0.686439567,putting,0.688300773,putting,0.686649309
values,0.687377892,values,0.657285363,values,0.688821089
motion,0.657609897,motion,0.644238893,motion,0.658326494
slowly,0.738832651,slowly,0.710717727,slowly,0.738558461
atmosphere,0.815546921,atmosphere,0.773415877,atmosphere,0.816234623
earth,0.724719167,earth,0.671931443,earth,0.727704807
theatrical,0.728783689,theatrical,0.674177411,theatrical,0.727138879
genuine,0.726152953,genuine,0.709310214,genuine,0.726648856
weird,0.741156086,weird,0.706296971,weird,0.742986222
hair,0.679846037,hair,0.660435145,hair,0.679675548
seemingly,0.701658666,seemingly,0.696070258,seemingly,0.702228077
held,0.67820246,held,0.673697917,held,0.678203719
plan,0.696379313,plan,0.632153493,plan,0.69772493
nicely,0.692825417,nicely,0.69705286,nicely,0.693166766
mess,0.751952914,mess,0.716803515,mess,0.752744549
secret,0.685725391,secret,0.638207258,secret,0.687488512
wide,0.657188161,wide,0.650780095,wide,0.659501041
producers,0.688410852,producers,0.671867764,producers,0.688944467
touching,0.815941296,touching,0.75628311,touching,0.816824514
party,0.691215753,party,0.598210565,party,0.693092624
suggest,0.682056446,suggest,0.683887701,suggest,0.682350642
tension,0.78702978,tension,0.748385106,tension,0.789857535
drawn,0.691653269,drawn,0.690532403,drawn,0.69553331
taste,0.68029652,taste,0.660936701,taste,0.681256849
exception,0.678553825,exception,0.682189849,exception,0.678959856
charming,0.842862522,charming,0.788391921,charming,0.843951678
wonderfully,0.716180346,wonderfully,0.708736232,wonderfully,0.717217336
double,0.682548078,double,0.648385175,double,0.66795065
producer,0.712734455,producer,0.67139432,producer,0.709307943
difference,0.679768966,difference,0.667586408,difference,0.679866685
post,0.662464958,post,0.645612004,post,0.665968375
culture,0.803962522,culture,0.670365553,culture,0.805536499
support,0.712539461,support,0.687431059,support,0.713263031
award,0.74823633,award,0.681075959,award,0.747822951
store,0.681619473,store,0.627654044,store,0.676042282
showed,0.699345085,showed,0.692816799,showed,0.70001199
writers,0.710317318,writers,0.673159173,writers,0.711399185
walk,0.629667423,walk,0.62317494,walk,0.630063273
sexual,0.850360076,sexual,0.705184478,sexual,0.852352136
faces,0.639705592,faces,0.633602847,faces,0.641422333
david,0.656281655,david,0.611834621,david,0.655959343
fire,0.65383961,fire,0.590295804,fire,0.646934561
vhs,0.834115353,vhs,0.707674928,vhs,0.833302125
lived,0.721535333,lived,0.711881611,lived,0.721951242
hasnt,0.674884057,hasnt,0.673572538,hasnt,0.674616706
werent,0.689136377,werent,0.685986013,werent,0.689390026
wild,0.691878995,wild,0.612266659,wild,0.695631704
lady,0.657375874,lady,0.635013509,lady,0.659132453
drive,0.682852062,drive,0.6155278,drive,0.685227624
ground,0.680829708,ground,0.661574468,ground,0.679694782
stunning,0.752644552,stunning,0.714707932,stunning,0.753787961
ahead,0.675291455,ahead,0.680522487,ahead,0.675155226
central,0.658128648,central,0.65906294,central,0.657827445
hits,0.694062033,hits,0.684811453,hits,0.694078324
born,0.678653905,born,0.652482018,born,0.67804966
step,0.597532679,step,0.585929609,step,0.598290216
featuring,0.648851054,featuring,0.644178383,featuring,0.648768087
positive,0.714904129,positive,0.683786073,positive,0.713340922
audio,0.781396173,audio,0.664281535,audio,0.777143233
impressed,0.677602135,impressed,0.674268061,impressed,0.677485494
suspense,0.856732892,suspense,0.814217474,suspense,0.862477919
mystery,0.792324444,mystery,0.768955452,mystery,0.80224448
beat,0.655769331,beat,0.644681341,beat,0.656577289
cute,0.826545371,cute,0.788311816,cute,0.829197419
week,0.687657479,week,0.652413947,week,0.693079334
forever,0.637214123,forever,0.620213873,forever,0.639707757
constantly,0.691636995,constantly,0.685052625,constantly,0.691911282
purpose,0.687836795,purpose,0.682987103,purpose,0.687594067
speaking,0.684740985,speaking,0.681909295,speaking,0.684797993
developed,0.691111063,developed,0.688278377,developed,0.689323497
player,0.729140548,player,0.662162218,player,0.735363456
intense,0.737935832,intense,0.705212766,intense,0.739098966
throw,0.686072518,throw,0.688772334,throw,0.682621485
explain,0.712027047,explain,0.701853007,explain,0.712630392
paced,0.676424071,paced,0.653987946,paced,0.677218975
crew,0.750994445,crew,0.646419802,crew,0.745237742
normal,0.680313489,normal,0.651721069,normal,0.681263667
wanting,0.675835724,wanting,0.668549283,wanting,0.676303746
mixed,0.664501193,mixed,0.666740602,mixed,0.665558386
trip,0.72749061,trip,0.63211748,trip,0.730946859
led,0.69436916,led,0.695313115,led,0.694761902
gem,0.749644045,gem,0.721920443,gem,0.750315735
images,0.710231399,images,0.6546696,images,0.712112064
length,0.704276012,length,0.674449352,length,0.703417244
feelings,0.740353438,feelings,0.721044037,feelings,0.736338647
blue,0.585093364,blue,0.56525232,blue,0.584694692
gorgeous,0.766896758,gorgeous,0.728029842,gorgeous,0.769576102
poorly,0.725878948,poorly,0.69805236,poorly,0.72648226
visit,0.683988692,visit,0.653801613,visit,0.684056203
flaws,0.685785045,flaws,0.687955734,flaws,0.68479382
disappointing,0.722537824,disappointing,0.708424623,disappointing,0.722796932
continue,0.699506182,continue,0.68560562,continue,0.699400875
master,0.69163162,master,0.618601328,master,0.686048492
emotions,0.767737278,emotions,0.732970306,emotions,0.76870569
keeping,0.66312195,keeping,0.661425907,keeping,0.664307842
energy,0.72266966,energy,0.67178229,energy,0.723217683
stick,0.65545341,stick,0.661953735,stick,0.655883088
information,0.738155407,information,0.700203148,information,0.731872227
physical,0.706073543,physical,0.672033578,physical,0.707093122
bored,0.711893357,bored,0.697285548,bored,0.712179162
expectations,0.725879856,expectations,0.698960362,expectations,0.725771602
winning,0.739437321,winning,0.69736853,winning,0.739924412
sitting,0.676301015,sitting,0.66339113,sitting,0.67697704
comments,0.683207433,comments,0.677220642,comments,0.683513741
helped,0.684822971,helped,0.688341029,helped,0.685170031
sharp,0.714865225,sharp,0.676777829,sharp,0.716231839
current,0.713361502,current,0.687008328,current,0.71342385
fashion,0.693739622,fashion,0.572905759,fashion,0.698176469
spot,0.657879568,spot,0.658284254,spot,0.657901633
lose,0.656807813,lose,0.646629593,lose,0.655092933
limited,0.68658422,limited,0.680763067,limited,0.686660879
pop,0.701008623,pop,0.663170768,pop,0.700875422
discover,0.678603164,discover,0.6731575,discover,0.679500073
died,0.735369938,died,0.709589993,died,0.736866674
impact,0.686042447,impact,0.670968118,impact,0.686227097
occasionally,0.699137302,occasionally,0.696396906,occasionally,0.69891053
personality,0.702943026,personality,0.688467843,personality,0.705174246
purchased,0.715375259,purchased,0.657899621,purchased,0.71639066
dvds,0.751954888,dvds,0.642849051,dvds,0.757367962
answer,0.704391083,answer,0.688931323,answer,0.704617356
deliver,0.680518763,deliver,0.681157593,deliver,0.680875023
fellow,0.702112079,fellow,0.695955371,fellow,0.702433468
