,ndcg
diningroom,0.595768802
fit,0.59576329
peaks,0.595753444
belfast,0.595639969
escalera,0.595574645
animalia,0.595551274
architettura,0.595457513
stretch,0.595346055
alan,0.595174893
glas,0.595151648
v700,0.595121451
metropolis,0.594997903
icicles,0.594987561
gwuk,0.59488184
mum,0.594610754
mojave,0.59457374
imagine,0.594529646
brouillard,0.594290472
clock,0.594277902
soul,0.594216275
hit,0.59418208
capitalcity,0.594157884
fullframe,0.594134749
change,0.59410743
lucky,0.593978008
foveon,0.593959914
torn,0.593572509
madeira,0.593571513
racing,0.593494849
framed,0.593480711
furniture,0.593460778
laboratory,0.593422694
leash,0.593341975
paisajes,0.593259776
mulher,0.593140793
carson,0.593059601
nurse,0.593004437
brighton,0.592996761
layer,0.592940614
cocacola,0.592938231
darkness,0.592900905
elvis,0.592826511
dummy,0.592750966
devil,0.592573181
banda,0.592454781
rodeo,0.592443472
corps,0.592402225
p,0.592395429
f3,0.592393928
g7,0.592390919
4,0.592169475
markt,0.592132194
crap,0.592126147
bureau,0.592087874
