,ndcg
mental,0.506616085
dom,0.506541135
ct,0.506362235
camion,0.506275716
beech,0.506253447
latino,0.506211906
tall,0.506120115
bosco,0.506029994
vilnius,0.506009736
gritty,0.505984547
singlelensreflex,0.50597787
hydepark,0.505860624
shoreline,0.505777724
rise,0.505764177
dp1,0.505733566
stained,0.505675317
justpentax,0.50560558
chemistry,0.505553607
myrtle,0.505511791
longhair,0.50547518
casco,0.505430716
apart,0.505429752
pontiac,0.505378837
reinounido,0.505311829
escalera,0.505272496
1984,0.505240153
brewing,0.505209785
engines,0.505205552
cabo,0.505160741
baroque,0.505120516
horizonte,0.505094087
wwi,0.505035485
montagnes,0.505031522
musik,0.504989083
director,0.504911136
blow,0.504897593
ski,0.504861223
norddeutschland,0.504826379
conifer,0.504824713
stop,0.504784942
neuseeland,0.504637208
adobe,0.504523357
citycentre,0.504496201
pristine,0.504490964
urn,0.504464091
streak,0.504435306
jpg,0.504280047
polariser,0.504247778
audubon,0.504237325
shibuya,0.504216492
canonef50mmf14usm,0.504192147
curry,0.503989273
ef1740mmf4lusm,0.503943422
nikond60,0.503940541
derbyshire,0.503913603
aussie,0.503839349
jose,0.503812437
amphibian,0.503757651
toddler,0.503704298
fried,0.503570058
parallel,0.503500678
iledefrance,0.503497161
sommar,0.503475062
kawaii,0.503458353
filters,0.503307417
toll,0.5032605
boathouse,0.503259335
commission,0.50315138
marathon,0.503131505
digitalphotography,0.503120246
ambulance,0.502989898
buildingsite,0.502874903
barbara,0.502834069
sooc,0.502825779
abandonded,0.502789495
leinster,0.50278519
alan,0.502780289
1930s,0.502706319
edgewater,0.50268578
boyfriend,0.502631004
naturesfinest,0.502599503
logan,0.502575774
leith,0.502556825
region,0.502513509
kate,0.502420247
laugh,0.502218444
walmart,0.502186622
niksoftware,0.502090709
alpine,0.502009739
material,0.501769167
msu,0.501765744
chief,0.501700315
giallo,0.501687267
e620,0.501656494
sichuan,0.501649922
aj,0.501643728
2001,0.5016216
william,0.501537235
die,0.501512034
saigon,0.501457902
layer,0.501438893
1928,0.501363938
copy,0.501317047
coffeehouse,0.501280866
funeral,0.501189992
imagine,0.501140528
tag3,0.501086202
19,0.501054991
stroll,0.500984878
sit,0.500954528
greaterlondon,0.500909996
fremont,0.500884988
cutting,0.500879982
base,0.500867332
canoneos500d,0.500815113
90mm,0.500807259
bungalow,0.500693266
stadt,0.500617107
mud,0.500485361
treasureisland,0.50046489
67,0.500394174
baltic,0.5002643
m43,0.500167046
1025fav,0.500119343
overexposed,0.500103206
nikond5000,0.500095496
18mm,0.500071066
schleswigholstein,0.499995129
beck,0.499976803
beaches,0.499901206
vermelho,0.499837746
27,0.49971188
md,0.499684452
mexique,0.499531845
1975,0.499426119
edible,0.499384331
jamaica,0.499360949
34,0.499266525
barcelone,0.499259977
