,acc,f1,kappa,prec,recall
residents,0.811632565,0.416315673,0.33386125,0.280801435,0.804627249
punk,0.804836171,0.402016659,0.317165949,0.270103093,0.785775493
slower,0.777221348,0.358467244,0.265281332,0.235964199,0.745501285
plodding,0.766919445,0.346045765,0.250169847,0.225950197,0.738646101
waves,0.77879525,0.363524084,0.271107192,0.239165764,0.75728988
vietnam,0.838174274,0.454939759,0.380641948,0.316353887,0.809605489
peers,0.777078266,0.35566584,0.262261826,0.234332425,0.737564322
guitar,0.812920303,0.403104314,0.319882403,0.274564677,0.757939914
claustrophobic,0.801330662,0.398787616,0.313176446,0.266647365,0.79055794
managing,0.772928888,0.34825462,0.253600013,0.228879892,0.727896996
saint,0.782372299,0.368355482,0.276990386,0.242947138,0.761373391
recycled,0.791243382,0.384388186,0.295921865,0.254753915,0.782646048
unintentional,0.770496494,0.35891287,0.26497171,0.233854167,0.771477663
dash,0.750679639,0.325004842,0.22503492,0.209802451,0.720790378
quintessential,0.767777937,0.352870813,0.258030693,0.22969115,0.760963027
forbidden,0.779868365,0.359091856,0.266616308,0.236943375,0.741186586
zany,0.819287452,0.43388615,0.354464781,0.293422249,0.832330181
inclined,0.747245672,0.318874108,0.217911037,0.205516899,0.711092003
mock,0.772285019,0.350540706,0.256131228,0.229802033,0.738607051
resume,0.752396623,0.320439819,0.22032532,0.207633588,0.701633706
needing,0.762197739,0.338639077,0.241713333,0.220238095,0.732358003
dumped,0.757547575,0.335099078,0.237186222,0.217026684,0.734939759
sword,0.851981686,0.465512787,0.395174206,0.332472325,0.776055125
elevate,0.754471312,0.336426914,0.238298148,0.216903515,0.749354005
commanding,0.801974531,0.39668701,0.311222271,0.265538372,0.783807063
stake,0.776577479,0.355683928,0.262519522,0.23385784,0.742463394
seamlessly,0.789240235,0.373191489,0.283579083,0.247810116,0.75538329
liberties,0.831449421,0.445907808,0.369805558,0.306696862,0.816537468
willingness,0.760910001,0.343676355,0.247125936,0.222589672,0.753660637
veterans,0.769351839,0.353907816,0.259585092,0.230548303,0.761206897
longtime,0.752253541,0.333140766,0.234463072,0.214480536,0.745689655
quasi,0.750321934,0.323381155,0.22355373,0.208552138,0.71958585
texture,0.785090857,0.37233598,0.282117234,0.245657568,0.768766178
extraordinarily,0.76441551,0.345718259,0.249982932,0.224574084,0.75064711
attending,0.760480755,0.342498036,0.245909033,0.221713705,0.752372735
responds,0.754042066,0.343141001,0.245760614,0.220368098,0.774805867
premiere,0.758549149,0.338624339,0.241395487,0.219066937,0.745470233
hammer,0.787094005,0.3657289,0.275287373,0.24278438,0.740932642
musician,0.822220632,0.420610865,0.340888655,0.288086873,0.778929188
anderson,0.741236228,0.317418381,0.215891514,0.203091041,0.726252159
sincerely,0.762841608,0.339246562,0.24273685,0.220523452,0.734887737
faded,0.771498068,0.349225754,0.254898878,0.228533333,0.740069085
wardrobe,0.781370725,0.373256768,0.282623807,0.244755245,0.785837651
staple,0.750822721,0.329289428,0.230181845,0.211895911,0.738341969
miller,0.705251109,0.282729805,0.173461063,0.177022019,0.701815039
trace,0.754185148,0.327592955,0.228835142,0.211737921,0.723422645
stardom,0.785233939,0.380775578,0.291474844,0.250067732,0.797752809
intend,0.775003577,0.353279868,0.259974214,0.231723766,0.743079585
kissing,0.764558592,0.346375372,0.250922286,0.224800206,0.75432526
enchanting,0.823007583,0.426784059,0.347802114,0.291455696,0.796712803
dismal,0.752182,0.322113503,0.222620736,0.208143652,0.711937716
unwilling,0.757833739,0.339512195,0.242477881,0.219198791,0.752595156
subjected,0.761124624,0.336050905,0.239129576,0.218177124,0.730968858
sporting,0.748891115,0.325518832,0.225925892,0.20923913,0.732698962
locals,0.826012305,0.434944238,0.357177003,0.297331639,0.809688581
mastered,0.788810989,0.376162299,0.287105657,0.248811854,0.770562771
possession,0.768994134,0.351996789,0.257766994,0.229101358,0.759307359
grandmother,0.773715839,0.356983127,0.263962596,0.233200531,0.760831889
ostensibly,0.749105738,0.320743754,0.220848036,0.206535296,0.717504333
arguments,0.797825154,0.385919166,0.299224968,0.257540603,0.7694974
fewer,0.754757476,0.335916312,0.238258214,0.216317365,0.751299827
precision,0.779439119,0.367330187,0.276109482,0.24065609,0.775563258
bible,0.838746602,0.445374016,0.371007871,0.310996564,0.784228769
worldwide,0.794605809,0.379511563,0.291789936,0.2527346,0.761491761
mel,0.77593361,0.358722359,0.26624999,0.234789601,0.759757155
inconsistent,0.760123051,0.339049872,0.242550853,0.219331803,0.746527778
overtones,0.757261411,0.333529758,0.236108946,0.215536938,0.736979167
warrant,0.760910001,0.332667732,0.235662461,0.216026971,0.723090278
evidently,0.750679639,0.322906548,0.223571757,0.208010013,0.721354167
uncanny,0.769781085,0.346731628,0.252311241,0.226285109,0.741319444
pounding,0.812777221,0.405902384,0.323564008,0.27482324,0.776041667
tormented,0.795249678,0.383455407,0.29630041,0.254941278,0.77324066
lightly,0.749391902,0.322830079,0.223389636,0.207608155,0.725456125
cheering,0.797896695,0.394945384,0.309228437,0.262080728,0.801042572
kong,0.838889684,0.446954813,0.372911841,0.311430527,0.791304348
suspected,0.774002003,0.352,0.258875393,0.230273752,0.746736292
bug,0.771784232,0.351098454,0.257569879,0.22909477,0.751087903
redundant,0.766132494,0.345021038,0.250121104,0.22410203,0.749347258
outfits,0.793818858,0.385238908,0.298131818,0.255156824,0.785900783
stepped,0.770639576,0.349167682,0.255294354,0.227693937,0.748476936
massacre,0.845757619,0.470530452,0.399771186,0.327521368,0.835222319
ambitions,0.765989412,0.341718656,0.246617551,0.222135008,0.740191805
relaxed,0.764272428,0.34349472,0.248325541,0.222623967,0.751525719
defies,0.761053083,0.338613861,0.242537464,0.21906226,0.745422842
witnessing,0.777435971,0.357364181,0.265428763,0.234100135,0.754799302
volumes,0.784733152,0.365858799,0.275788732,0.241178105,0.757417103
settles,0.750822721,0.331606218,0.233571294,0.212546125,0.753926702
mirrors,0.77092574,0.349715678,0.256194818,0.227838052,0.751965066
mono,0.825583059,0.437989857,0.360925955,0.297525838,0.829694323
principles,0.784947775,0.363405337,0.273208041,0.239865809,0.749344978
mailing,0.905852053,0.609263658,0.561889502,0.461538462,0.896069869
wolf,0.788381743,0.36821871,0.278982785,0.243709358,0.752838428
counterpart,0.772285019,0.359170525,0.266862284,0.233263598,0.78040245
weaker,0.776434397,0.359237236,0.267520589,0.234600964,0.766404199
guests,0.785663185,0.36952862,0.280114744,0.243280687,0.768153981
clunky,0.759693805,0.341759749,0.246078475,0.22020202,0.762904637
targets,0.797825154,0.38671875,0.300724306,0.257142857,0.779527559
nope,0.774717413,0.357478066,0.265351991,0.233102714,0.766404199
chicken,0.758406067,0.328761678,0.231652363,0.212705761,0.723534558
bonds,0.77664902,0.362336601,0.271003221,0.2362813,0.776707531
incompetent,0.765488625,0.351661392,0.257775558,0.227133367,0.778458844
robbed,0.792316497,0.378239452,0.290686481,0.250354409,0.773204904
boom,0.776577479,0.352209085,0.259926786,0.230769231,0.743432574
swing,0.752396623,0.330172247,0.232548145,0.211872827,0.747589833
notions,0.780369152,0.357740586,0.266587094,0.234954658,0.749342682
fury,0.777936758,0.359471729,0.268120357,0.235087719,0.763365469
document,0.816640435,0.412021106,0.331444865,0.279055314,0.787028922
dual,0.779796824,0.357142857,0.265849945,0.234439265,0.749342682
rooted,0.756045214,0.333984375,0.2372051,0.21487811,0.749342682
translated,0.784661611,0.366048863,0.276291588,0.240920432,0.761612621
accustomed,0.768350265,0.341334418,0.246925349,0.222251656,0.735319895
killings,0.856345686,0.493951613,0.427344921,0.346657234,0.858895706
coat,0.746530262,0.320613615,0.22130034,0.205203731,0.732690622
