,acc,f1,kappa,prec,recalls
attracts,0.629846902,0.130712366,0.052189403,0.07336854,0.598461538
disturbingly,0.663471169,0.149367089,0.07331233,0.084631148,0.635384615
boyish,0.635999428,0.148024113,0.071030472,0.083051484,0.68
resides,0.668479038,0.155919854,0.080530758,0.088429752,0.658461538
characterized,0.662183431,0.147037572,0.070762539,0.083299222,0.626153846
grandparents,0.690012877,0.162381597,0.088239809,0.092858722,0.646153846
float,0.683359565,0.148518661,0.073093088,0.084872471,0.593846154
solutions,0.653026184,0.155934563,0.080055161,0.087912088,0.689230769
embarrassingly,0.619401917,0.134396355,0.055876145,0.07514556,0.635384615
splendidly,0.66354271,0.150009037,0.074005695,0.084988736,0.638461538
discount,0.686149664,0.147989901,0.072737196,0.084666667,0.587057011
satan,0.737229933,0.192924632,0.123108472,0.112506407,0.67642527
politician,0.709042782,0.171184023,0.098546216,0.098637858,0.647149461
terrain,0.681356417,0.161836658,0.087446013,0.092175777,0.662557781
scifi,0.85663185,0.357692308,0.306704519,0.225819506,0.859784284
brick,0.657676349,0.146297948,0.069931944,0.082728006,0.63174114
enhancement,0.7247818,0.182706607,0.111582896,0.105963529,0.662557781
publicly,0.697310059,0.159014113,0.085008479,0.091282519,0.61633282
recognizing,0.637072543,0.136804492,0.059079151,0.07689365,0.619414484
interactive,0.742309343,0.188738739,0.118974335,0.110495781,0.646604938
fatale,0.735727572,0.190622261,0.12066875,0.111082737,0.671296296
opposites,0.639433395,0.152086137,0.075733057,0.085347432,0.697530864
peer,0.612677064,0.136247607,0.057931759,0.075978648,0.658950617
recordings,0.784733152,0.227074236,0.162336121,0.136209553,0.682098765
flees,0.625769066,0.140345111,0.062695474,0.078535957,0.658950617
coma,0.636571756,0.137813985,0.060267103,0.077421815,0.62654321
breakout,0.621476606,0.136445242,0.058373856,0.076291294,0.645061728
bid,0.656746316,0.136429086,0.059389854,0.077220864,0.584876543
tosses,0.658177135,0.144034396,0.067622484,0.081475476,0.62037037
guardian,0.683931893,0.155903707,0.081267534,0.08896642,0.62962963
groan,0.676348548,0.155024281,0.080161369,0.08816656,0.641421947
recreating,0.713836028,0.168399168,0.095966389,0.097285611,0.625965997
speculation,0.734940621,0.195090159,0.125514529,0.113498483,0.693972179
watchers,0.700171698,0.165305716,0.092087014,0.094878829,0.641421947
monkeys,0.707969667,0.166598612,0.093788603,0.095977417,0.630602782
praying,0.669766776,0.150533677,0.075107085,0.085439733,0.632148377
premiered,0.671841465,0.144056727,0.068211527,0.081918506,0.596599691
graphically,0.661110316,0.16085031,0.08592973,0.090836335,0.701700155
pretensions,0.621691229,0.13622999,0.058263215,0.076164384,0.644513138
burt,0.693303763,0.148221737,0.073475778,0.08504332,0.576506955
vistas,0.752182,0.206596427,0.138770526,0.121236559,0.698142415
fiercely,0.647445987,0.147404844,0.071145476,0.082976237,0.659442724
upbringing,0.656531693,0.154604684,0.079173609,0.087224319,0.679566563
expanding,0.712977536,0.159262364,0.086235884,0.092098885,0.588235294
joking,0.666905137,0.142541436,0.066524237,0.080894649,0.599071207
rifle,0.741236228,0.208707066,0.140489349,0.121528662,0.738390093
python,0.722206324,0.188166423,0.117622952,0.108774474,0.696594427
drastic,0.647732151,0.14839156,0.072216835,0.083528037,0.664086687
belonging,0.621405065,0.125578321,0.046884599,0.070292268,0.588235294
afloat,0.601731292,0.130292142,0.051466473,0.072458732,0.645510836
drown,0.65853484,0.146306564,0.070302666,0.082709808,0.633126935
impeccably,0.647374446,0.147968885,0.071863329,0.083268482,0.663565891
facade,0.618042638,0.142880077,0.065573412,0.079691977,0.689922481
audacity,0.639361854,0.14137285,0.064524525,0.079410639,0.643410853
saddened,0.657461726,0.148951298,0.073227075,0.084119655,0.649612403
dumps,0.627199886,0.134816537,0.057118563,0.075492748,0.629457364
observer,0.642938904,0.155070256,0.07938589,0.087039149,0.710077519
craftsmanship,0.66933753,0.153789821,0.078814803,0.087191198,0.651162791
shootout,0.799041351,0.269440832,0.208660791,0.161875,0.803100775
idiocy,0.673486908,0.149142431,0.07395637,0.084763721,0.620155039
aloof,0.664186579,0.148712369,0.073183791,0.084206203,0.635658915
scam,0.687580484,0.16164331,0.087996534,0.092223439,0.653726708
instrumental,0.70317642,0.171028971,0.098661979,0.098142628,0.664596273
louise,0.59872657,0.124277908,0.045139065,0.069085228,0.618012422
casino,0.713192159,0.175950668,0.104345593,0.101397773,0.664596273
cherished,0.683788811,0.156810378,0.082667478,0.08938669,0.638198758
freakin,0.678924023,0.16424581,0.090489723,0.093313584,0.684782609
waving,0.704249535,0.157358337,0.084141291,0.090546563,0.600311042
anxiously,0.683645729,0.152223926,0.077842472,0.086813908,0.617418351
gracefully,0.647732151,0.145138889,0.069051149,0.081688489,0.65007776
awkwardness,0.631349263,0.149529625,0.073321224,0.083641064,0.704510109
interludes,0.659321791,0.138567294,0.062334774,0.078403275,0.595645412
competitive,0.674989269,0.158236057,0.084003112,0.0898191,0.66407465
focal,0.64050651,0.147293399,0.071162963,0.082666667,0.67496112
lobby,0.644012019,0.136410968,0.05954274,0.076772807,0.611197512
censorship,0.619187294,0.128947799,0.050809189,0.072055596,0.612752722
multiplex,0.665331235,0.153762663,0.078874858,0.087001024,0.66096423
booth,0.649520675,0.133993283,0.057105529,0.075588353,0.589424572
journeys,0.659393332,0.154501865,0.079483343,0.087209302,0.67651633
oozes,0.654099299,0.142274259,0.06615945,0.080296356,0.623639191
adversity,0.691801402,0.180677064,0.108704176,0.102925244,0.738724728
craving,0.650236085,0.137894551,0.061326785,0.077764519,0.608087092
redeems,0.626412935,0.134570766,0.057063502,0.075310703,0.631415241
infidelity,0.665903563,0.172572644,0.099242128,0.097361056,0.758566978
failings,0.653169266,0.14857745,0.073027777,0.083729216,0.658878505
pitfalls,0.641579625,0.14241698,0.066053871,0.08,0.647975078
fee,0.658391758,0.138242195,0.062067473,0.07817922,0.596573209
locks,0.659393332,0.1423167,0.066482662,0.080464453,0.615264798
bitterness,0.628487623,0.152163265,0.076198766,0.084989969,0.725856698
towers,0.677636286,0.143346008,0.068199065,0.081637072,0.587227414
