,f1,acc,prec,kappa,recall
crash,0.040010962,0.808600153,0.020459641,0.03162971,0.901234568
guaranteed,0.029658285,0.75330565,0.015091864,0.021144786,0.851851852
ethernet,0.069829902,0.886460496,0.036228518,0.061826762,0.962962963
gee,0.025522471,0.712107966,0.012955314,0.016951377,0.851851852
jon,0.042873696,0.819473282,0.021951943,0.034528358,0.913580247
classes,0.029240937,0.735165556,0.014861564,0.020713411,0.901234568
wave,0.029398859,0.758277784,0.014965379,0.020886256,0.827160494
naturally,0.025907753,0.728827451,0.013163143,0.017348097,0.814814815
loop,0.031775271,0.770243689,0.016189582,0.023291182,0.851851852
eh,0.029917392,0.762594252,0.015234197,0.021412076,0.827160494
charles,0.028421513,0.757185007,0.014463729,0.020004022,0.8125
tuesday,0.037784679,0.796852803,0.019291755,0.029475812,0.9125
61,0.042665108,0.821003169,0.021843208,0.034421153,0.9125
suffer,0.035798398,0.7763086,0.018242919,0.027456406,0.95
pray,0.069158879,0.891159436,0.03592233,0.061258995,0.925
policies,0.052783803,0.856846246,0.02717796,0.044673688,0.9125
literally,0.030075188,0.76740247,0.015316779,0.021678384,0.825
january,0.034707158,0.781171457,0.017694765,0.026359507,0.9
challenge,0.029760621,0.754179871,0.01514154,0.021352682,0.8625
reject,0.058845719,0.863676101,0.03033839,0.050798007,0.975
ignored,0.030356357,0.759152005,0.015450067,0.021956559,0.8625
achieve,0.036920087,0.78335701,0.018825861,0.028592857,0.95
professor,0.041270703,0.807070266,0.021093533,0.033000614,0.95
magazines,0.027826769,0.728936728,0.014134979,0.019388447,0.8875
tied,0.039891206,0.826412414,0.020439765,0.03163018,0.825
